date,open,high,low,close,volume,Name
2013-09-09,35.86,36.4,35.84,36.24,6571654,MRO
2013-09-09,83.59,83.8,83.0,83.52,868669,SRE
2013-09-09,51.34,51.85,51.255,51.725,465640,HSIC
2013-09-09,72.57,72.87,72.255,72.53,1311034,CME
2013-09-09,123.74,124.5465,123.32,124.25,701735,MCK
2013-09-09,52.41,52.575,52.0899,52.54,2324450,LLY
2013-09-09,76.13,77.35,75.99,77.02,1600508,SBAC
2013-09-09,108.4,109.19,107.63,109.1,2203030,FDX
2013-09-09,121.72,125.17,121.51,124.98,667112,MHK
2013-09-09,45.03,46.84,44.98,46.71,529481,ALGN
2013-09-09,72.1428,72.5599,71.9256,72.3099,84887432,AAPL
2013-09-09,53.58,54.41,53.46,54.39,561405,PKG
2013-09-09,34.425,34.6075,34.36,34.545,1490414,ROST
2013-09-09,86.06,87.03,86.01,86.66,2411844,APA
2013-09-09,73.17,73.83,72.99,73.56,1555845,ITW
2013-09-09,82.46,84.55,82.3,84.55,815209,VNO
2013-09-09,49.31,49.58,48.93,49.29,893287,LRCX
2013-09-09,33.51,33.79,33.3,33.76,2917060,BBT
2013-09-09,26.17,26.41,26.02,26.28,1961889,NWL
2013-09-09,66.19,67.66,66.13,66.75,3577918,ETN
2013-09-09,87.32,89.35,86.28,89.29,531656,SLG
2013-09-09,44.36,44.79,43.7,44.04,75694727,FB
2013-09-09,57.2,57.52,57.0,57.47,3070706,DG
2013-09-09,36.59,37.59,36.23,37.59,2692973,PLD
2013-09-09,98.91,99.89,98.43,99.79,388098,FRT
2013-09-09,127.17,128.52,126.88,128.06,431711,ROP
2013-09-09,62.12,63.81,62.12,63.42,1038900,TSCO
2013-09-09,73.5,73.75,73.26,73.58,2831042,ACN
2013-09-09,88.16,90.86,88.16,90.35,170147,AYI
2013-09-09,85.36,86.358,84.46,85.904,198509,ANSS
2013-09-09,30.55,30.79,30.4,30.79,2640434,BK
2013-09-09,32.86,33.22,32.65,33.08,1537346,AEE
2013-09-09,408.54,412.68,408.0,411.7,220220,CMG
2013-09-09,71.36,72.03,71.04,71.65,223154,DISCK
2013-09-09,39.51,39.55,38.43,38.84,4034296,HCA
2013-09-09,15.53,15.62,15.46,15.585,10043324,AMAT
2013-09-09,961.5,968.44,959.21,965.664,391700,PCLN
2013-09-09,75.76,76.74,74.87,75.62,3131129,KORS
2013-09-09,87.51,88.79,87.15,88.44,990216,FFIV
2013-09-09,111.34,111.96,110.46,111.67,2826790,AMGN
2013-09-09,37.04,37.47,37.0,37.42,562849,PKI
2013-09-09,29.52,29.92,29.51,29.85,5357794,TSN
2013-09-09,31.86,32.14,31.855,32.02,5716016,CTL
2013-09-09,71.24,71.56,71.127,71.4,491138,COL
2013-09-09,55.24,56.08,55.05,56.04,1007275,DVA
2013-09-09,22.72,23.03,22.7,22.91,27757984,INTC
2013-09-09,49.52,49.91,49.35,49.5,771305,VRSN
2013-09-09,79.21,80.26,79.0,79.74,216764,IFF
